groupeActivite;divisionActivite;sectionActivite
Non renseigné;Non renseigné;Non renseigné
Extraction de pétrole brut;Extraction d'hydrocarbures;Industries extractives
Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication de préparations pharmaceutiques;Industrie pharmaceutique;Industrie manufacturière
Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments;Construction
Fabrication de pesticides et d'autres produits agrochimiques;Industrie chimique;Industrie manufacturière
Commerce d'équipements automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication d'autres matériels électriques;Fabrication d'équipements électriques;Industrie manufacturière
Travaux de finition;Travaux de construction spécialisés;Construction
Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Enseignement pré-primaire;Enseignement;Enseignement
Activités des syndicats de salariés;Activités des organisations associatives;Autres activités de services
Fabrication de matériels de transport n.c.a.;Fabrication d'autres matériels de transport;Industrie manufacturière
Sciage et rabotage du bois;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Activités des organisations et organismes extraterritoriaux;Activités des organisations et organismes extraterritoriaux;Activités extra-territoriales
Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Études de marché et sondages;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Télécommunications sans fil;Télécommunications;Information et communication
Commerce de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'articles à mailles;Industrie de l'habillement;Industrie manufacturière
Activités des organisations économiques, patronales et professionnelles;Activités des organisations associatives;Autres activités de services
Traitement et élimination des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de produits en caoutchouc;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Services d'aménagement paysager;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Reproduction d'enregistrements;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Récupération;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Entreposage et stockage;Entreposage et services auxiliaires des transports;Transports et entreposage
Fonderie;Métallurgie;Industrie manufacturière
Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Construction de véhicules militaires de combat;Fabrication d'autres matériels de transport;Industrie manufacturière
Autres services personnels;Autres services personnels;Autres activités de services
Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Ennoblissement textile;Fabrication de textiles;Industrie manufacturière
Fabrication de produits électroniques grand public;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Promotion immobilière;Construction de bâtiments;Construction
Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Aquaculture;Pêche et aquaculture;Agriculture, sylviculture et pêche
"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Industrie du cuir et de la chaussure;Industrie manufacturière
Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de carrosseries et remorques;Industrie automobile;Industrie manufacturière
Autres hébergements;Hébergement;Hébergement et restauration
Activités d'enquête;Enquêtes et sécurité;Activités de services administratifs et de soutien
Activités des agences de voyage et voyagistes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Enseignement supérieur et post-secondaire non supérieur;Enseignement;Enseignement
Activités des agences de placement de main-d'œuvre;Activités liées à l'emploi;Activités de services administratifs et de soutien
"Forge, emboutissage, estampage; métallurgie des poudres";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de chaussures;Industrie du cuir et de la chaussure;Industrie manufacturière
Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication de piles et d'accumulateurs électriques;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Industrie manufacturière
Fabrication d'aliments pour animaux;Industries alimentaires;Industrie manufacturière
Activités immobilières pour compte de tiers;Activités immobilières;Activités immobilières
Transports par conduites;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication de matériels optique et photographique;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Recherche-développement en sciences humaines et sociales;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Télécommunications filaires;Télécommunications;Information et communication
Fabrication d'équipements automobiles;Industrie automobile;Industrie manufacturière
Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Autres activités d'hébergement social;Hébergement médico-social et social;Santé humaine et action sociale
Transport ferroviaire interurbain de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication de produits réfractaires;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Extraction de minerais de fer;Extraction de minerais métalliques;Industries extractives
Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'instruments de musique;Autres industries manufacturières;Industrie manufacturière
Construction de routes et de voies ferrées;Génie civil;Construction
Fabrication d'éléments en métal pour la construction;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Conseil de gestion;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Imprimerie et services annexes;Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Fabrication de supports magnétiques et optiques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
