activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication d'autres matériels électriques;Fabrication d'autres matériels électriques;Fabrication d'autres matériels électriques;Fabrication d'équipements électriques;Industrie manufacturière
Métallurgie du cuivre;Métallurgie du cuivre;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services;Commerce de gros d'autres machines et équipements;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Démantèlement d'épaves;Démantèlement d'épaves;Récupération;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication de fûts et emballages métalliques similaires;Fabrication de fûts et emballages métalliques similaires;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de serrures et de ferrures;Fabrication de serrures et de ferrures;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Édition de revues et périodiques;Édition de revues et périodiques;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Activités de sécurité privée;Activités de sécurité privée;Activités de sécurité privée;Enquêtes et sécurité;Activités de services administratifs et de soutien
Édition de jeux électroniques;Édition de jeux électroniques;Édition de logiciels;Édition;Information et communication
Commerce de détail de carburants en magasin spécialisé;Commerce de détail de carburants en magasin spécialisé;Commerce de détail de carburants en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Distribution de combustibles gazeux par conduites;Distribution de combustibles gazeux par conduites;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Location et location-bail de machines et équipements pour la construction;Location et location-bail de machines et équipements pour la construction;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Entreposage et stockage non frigorifique;Entreposage et stockage;Entreposage et stockage;Entreposage et services auxiliaires des transports;Transports et entreposage
Activités de clubs de sports;Activités de clubs de sports;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines pour les industries du papier et du carton;Fabrication de machines pour les industries du papier et du carton;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fonderie d'acier;Fonderie d'acier;Fonderie;Métallurgie;Industrie manufacturière
Fabrication de pièces techniques à base de matières plastiques;Fabrication d'autres articles en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Fabrication de machines pour la métallurgie;Fabrication de machines pour la métallurgie;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Réparation et maintenance d'autres équipements de transport;Réparation et maintenance d'autres équipements de transport;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Manutention portuaire;Manutention;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Fabrication d'armes et de munitions;Fabrication d'armes et de munitions;Fabrication d'armes et de munitions;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de malt;Fabrication de malt;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Transformation et conservation de pommes de terre;Transformation et conservation de pommes de terre;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Fabrication de sucre;Fabrication de sucre;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Services auxiliaires des transports par eau;Services auxiliaires des transports par eau;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;Location et location-bail d'autres machines, équipements et biens matériels n.c.a.;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Fabrication de carreaux en céramique;Fabrication de carreaux en céramique;Fabrication de matériaux de construction en terre cuite;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Transports routiers de fret de proximité;Transports routiers de fret;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Activités de soutien au spectacle vivant;Activités de soutien au spectacle vivant;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Transport ferroviaire interurbain de voyageurs;Transport ferroviaire interurbain de voyageurs;Transport ferroviaire interurbain de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
