activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Construction de maisons individuelles;Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments;Construction
Fabrication d'instruments de musique;Fabrication d'instruments de musique;Fabrication d'instruments de musique;Autres industries manufacturières;Industrie manufacturière
Aquaculture en mer;Aquaculture en mer;Aquaculture;Pêche et aquaculture;Agriculture, sylviculture et pêche
Programmation informatique;Programmation informatique;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage;Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres articles en caoutchouc;Fabrication d'autres articles en caoutchouc;Fabrication de produits en caoutchouc;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Fabrication de cidre et de vins de fruits;Fabrication de cidre et de vins de fruits;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Travaux de couverture par éléments;Travaux de couverture;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Hébergement médicalisé pour personnes âgées;Hébergement médicalisé;Hébergement médicalisé;Hébergement médico-social et social;Santé humaine et action sociale
Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Construction d'ouvrages d'art;Construction de ponts et tunnels;Construction de routes et de voies ferrées;Génie civil;Construction
Fabrication de matières plastiques de base;Fabrication de matières plastiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Traitement de données, hébergement et activités connexes;Traitement de données, hébergement et activités connexes;"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
Fabrication d'autres pompes et compresseurs;Fabrication d'autres pompes et compresseurs;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de combustibles gazeux par conduites;Commerce de combustibles gazeux par conduites;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication de moteurs, génératrices et transformateurs électriques;Fabrication de moteurs, génératrices et transformateurs électriques;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication d'équipements électriques;Industrie manufacturière
Activité des médecins généralistes;Activité des médecins généralistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.;Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Commerce de détail de boissons en magasin spécialisé;Commerce de détail de boissons en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Transports par conduites;Transports par conduites;Transports par conduites;Transports terrestres et transport par conduites;Transports et entreposage
Culture de plantes à fibres;Culture de plantes à fibres;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres activités extractives n.c.a.;Autres activités extractives n.c.a.;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Boulangerie et boulangerie-pâtisserie;Fabrication de pain et de pâtisserie fraîche;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Travaux de charpente;Travaux de couverture;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Fabrication de béton prêt à l'emploi;Fabrication de béton prêt à l'emploi;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Construction et entretien de tunnels;Construction de ponts et tunnels;Construction de routes et de voies ferrées;Génie civil;Construction
"Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie";"Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie";Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Autres services personnels n.c.a.;Autres services personnels n.c.a.;Autres services personnels;Autres services personnels;Autres activités de services
Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Location de courte durée de voitures et de véhicules automobiles légers;Location et location-bail de voitures et de véhicules automobiles légers;Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Activités de centres d'appels;Activités de centres d'appels;Activités de centres d'appels;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication et façonnage d'autres articles en verre, y compris verre technique;Fabrication et façonnage d'autres articles en verre, y compris verre technique;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Réparation d'ouvrages en métaux;Réparation d'ouvrages en métaux;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Extraction des minéraux chimiques et d'engrais minéraux;Extraction des minéraux chimiques et d'engrais minéraux;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Production de boissons alcooliques distillées;Production de boissons alcooliques distillées;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Fabrication de piles et d'accumulateurs électriques;Fabrication de piles et d'accumulateurs électriques;Fabrication de piles et d'accumulateurs électriques;Fabrication d'équipements électriques;Industrie manufacturière
Commerce de gros (commerce interentreprises) de produits à base de tabac;Commerce de gros de produits à base de tabac;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des agences de placement de main-d'œuvre;Activités des agences de placement de main-d'œuvre;Activités des agences de placement de main-d'œuvre;Activités liées à l'emploi;Activités de services administratifs et de soutien
Location de camions avec chauffeur;Transports routiers de fret;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Commerce de gros (commerce interentreprises) de minerais et métaux;Commerce de gros de minerais et métaux;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de structures métalliques et de parties de structures;Fabrication de structures métalliques et de parties de structures;Fabrication d'éléments en métal pour la construction;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Commerce de détail d'autres équipements du foyer;Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location avec opérateur de matériel de construction;Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Administration publique générale;Administration publique générale;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Tréfilage à froid;Tréfilage à froid;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Activités des organisations patronales et consulaires;Activités des organisations patronales et consulaires;Activités des organisations économiques, patronales et professionnelles;Activités des organisations associatives;Autres activités de services
Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de verre creux;Fabrication de verre creux;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Construction de réseaux électriques et de télécommunications;Construction de réseaux électriques et de télécommunications;Construction de réseaux et de lignes;Génie civil;Construction
Transports routiers de fret interurbains;Transports routiers de fret;Transports routiers de fret et services de déménagement;Transports terrestres et transport par conduites;Transports et entreposage
Construction d'autres bâtiments;Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments;Construction
Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Distribution d'électricité;Distribution d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication d'huiles essentielles;Fabrication d'huiles essentielles;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Fabrication d'équipements de communication;Fabrication d'équipements de communication;Fabrication d'équipements de communication;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Activités des agences de voyage;Activités des agences de voyage;Activités des agences de voyage et voyagistes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Travaux d'installation électrique dans tous locaux;Installation électrique;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Activités de soutien aux autres industries extractives;Activités de soutien aux autres industries extractives;Activités de soutien aux autres industries extractives;Services de soutien aux industries extractives;Industries extractives
Fabrication de tapis et moquettes;Fabrication de tapis et moquettes;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Fabrication de ficelles, cordes et filets;Fabrication de ficelles, cordes et filets;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Réparation d'ordinateurs et d'équipements périphériques;Réparation d'ordinateurs et d'équipements périphériques;Réparation d'ordinateurs et d'équipements de communication;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Traitement et élimination des déchets non dangereux;Traitement et élimination des déchets non dangereux;Traitement et élimination des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication d'autres machines spécialisées;Fabrication d'autres machines d'usage spécifique n.c.a.;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Élevage de vaches laitières;Élevage de vaches laitières;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fonds de placement et entités financières similaires;Fonds de placement et entités financières similaires;Fonds de placement et entités financières similaires;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Décolletage;Usinage;"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Autres transports routiers de voyageurs;Autres transports terrestres de voyageurs n.c.a.;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Vente à distance sur catalogue spécialisé;Vente à distance;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Production de films et de programmes pour la télévision;Production de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Fabrication de papiers peints;Fabrication de papiers peints;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Activités des agences de presse;Activités des agences de presse;Autres services d'information;Services d'information;Information et communication
Supermarchés;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres commerces de détail sur éventaires et marchés;Autres commerces de détail sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Crédit-bail;Crédit-bail;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Régie publicitaire de médias;Régie publicitaire de médias;Publicité;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Courtage de valeurs mobilières et de marchandises;Courtage de valeurs mobilières et de marchandises;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Transformation du thé et du café;Transformation du thé et du café;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Activités chirurgicales;Activité des médecins spécialistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Production d'électricité;Production d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Travaux d'étanchéification;Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication d'huiles et graisses brutes;Fabrication d'huiles et graisses;Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Métallurgie de l'aluminium;Métallurgie de l'aluminium;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Fabrication d'autres textiles techniques et industriels;Fabrication d'autres textiles techniques et industriels;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Fabrication d'articles de brosserie;Fabrication d'articles de brosserie;Activités manufacturières n.c.a.;Autres industries manufacturières;Industrie manufacturière
Traitement primaire des récoltes;Traitement primaire des récoltes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Gestion des jardins botaniques et zoologiques et des réserves naturelles;Gestion des jardins botaniques et zoologiques et des réserves naturelles;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Activités des organisations religieuses;Activités des organisations religieuses;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Activités de poste dans le cadre d'une obligation de service universel;Activités de poste dans le cadre d'une obligation de service universel;Activités de poste dans le cadre d'une obligation de service universel;Activités de poste et de courrier;Transports et entreposage
Fabrication de produits pharmaceutiques de base;Fabrication de produits pharmaceutiques de base;Fabrication de produits pharmaceutiques de base;Industrie pharmaceutique;Industrie manufacturière
Défense;Défense;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication d'emballages en papier;Fabrication de papier et carton ondulés et d'emballages en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Fabrication de savons, détergents et produits d'entretien;Fabrication de savons, détergents et produits d'entretien;Fabrication de savons, de produits d'entretien et de parfums;Industrie chimique;Industrie manufacturière
Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Culture de fruits à pépins et à noyau;Culture de fruits à pépins et à noyau;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de supports magnétiques et optiques;Fabrication de supports magnétiques et optiques;Fabrication de supports magnétiques et optiques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Construction de navires et de structures flottantes;Construction de navires et de structures flottantes;Construction navale;Fabrication d'autres matériels de transport;Industrie manufacturière
Ennoblissement textile;Ennoblissement textile;Ennoblissement textile;Fabrication de textiles;Industrie manufacturière
Services auxiliaires des transports terrestres;Services auxiliaires des transports terrestres;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fonderie de fonte;Fonderie de fonte;Fonderie;Métallurgie;Industrie manufacturière
Action sociale sans hébergement n.c.a.;Autre action sociale sans hébergement n.c.a.;Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Ingénierie, études techniques;Activités d'ingénierie;Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Activités des voyagistes;Activités des voyagistes;Activités des agences de voyage et voyagistes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Commerce de gros (commerce interentreprises) de café, thé, cacao et épices;Commerce de gros de café, thé, cacao et épices;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication et rechapage de pneumatiques;Fabrication et rechapage de pneumatiques;Fabrication de produits en caoutchouc;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Autres intermédiaires du commerce en denrées, boissons et tabac;Intermédiaires du commerce en denrées, boissons et tabac;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Promotion immobilière de bureaux;Promotion immobilière;Promotion immobilière;Construction de bâtiments;Construction
Réparation et maintenance navale;Réparation et maintenance navale;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication de vis et de boulons;Fabrication de vis et de boulons;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Restauration collective sous contrat;Autres services de restauration;Traiteurs et autres services de restauration;Restauration;Hébergement et restauration
Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Fabrication de fibres artificielles ou synthétiques;Fabrication de fibres artificielles ou synthétiques;Fabrication de fibres artificielles ou synthétiques;Industrie chimique;Industrie manufacturière
Autres activités de nettoyage des bâtiments et nettoyage industriel;Autres activités de nettoyage des bâtiments et nettoyage industriel;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Autres activités d'édition;Autres activités d'édition;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Fabrication de margarine et graisses comestibles similaires;Fabrication de margarine et graisses comestibles similaires;Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Commerce de détail de produits pharmaceutiques en magasin spécialisé;Commerce de détail de produits pharmaceutiques en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres cultures permanentes;Autres cultures permanentes;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de peintures, vernis, encres et mastics;Fabrication de peintures, vernis, encres et mastics;Fabrication de peintures, vernis, encres et mastics;Industrie chimique;Industrie manufacturière
Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues;Autres activités pour la santé humaine;Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
"Forge, estampage, matriçage; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de vêtements de travail;Fabrication de vêtements de travail;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Gestion des retraites complémentaires;Sécurité sociale obligatoire;Sécurité sociale obligatoire;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fabrication d'articles de voyage, de maroquinerie et de sellerie;Fabrication d'articles de voyage, de maroquinerie et de sellerie;"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Industrie du cuir et de la chaussure;Industrie manufacturière
Industrie des eaux de table;Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Hébergement social pour handicapés mentaux et malades mentaux;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement médico-social et social;Santé humaine et action sociale
Culture de légumes, de melons, de racines et de tubercules;Culture de légumes, de melons, de racines et de tubercules;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros (commerce interentreprises) d'habillement et de chaussures;Commerce de gros d'habillement et de chaussures;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Cuisson de produits de boulangerie;Fabrication de pain et de pâtisserie fraîche;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Industries alimentaires;Industrie manufacturière
Gestion des musées;Gestion des musées;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Fabrication de beurre;Exploitation de laiteries et fabrication de fromage;Fabrication de produits laitiers;Industries alimentaires;Industrie manufacturière
Activités des organisations professionnelles;Activités des organisations professionnelles;Activités des organisations économiques, patronales et professionnelles;Activités des organisations associatives;Autres activités de services
Activités juridiques;Activités juridiques;Activités juridiques;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Commerce de gros (commerce interentreprises) de combustibles et de produits annexes;Commerce de gros de combustibles et de produits annexes;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Édition de répertoires et de fichiers d'adresses;Édition de répertoires et de fichiers d'adresses;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Manutention non portuaire;Manutention;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Façonnage et transformation du verre plat;Façonnage et transformation du verre plat;Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Mécanique industrielle;Usinage;"Traitement et revêtement des métaux; usinage";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels;Installation de machines et d'équipements industriels;Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication de produits abrasifs;Fabrication de produits abrasifs;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Réparation de machines et équipements mécaniques;Réparation de machines et équipements mécaniques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Fabrication d'autres articles à mailles;Fabrication d'autres articles à mailles;Fabrication d'articles à mailles;Industrie de l'habillement;Industrie manufacturière
Location de longue durée de voitures et de véhicules automobiles légers;Location et location-bail de voitures et de véhicules automobiles légers;Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus);Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'isolateurs et pièces isolantes en céramique;Fabrication d'isolateurs et pièces isolantes en céramique;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de lunettes;Fabrication d'instruments et de fournitures à usage médical et dentaire;Fabrication d'instruments et de fournitures à usage médical et dentaire;Autres industries manufacturières;Industrie manufacturière
Intermédiaires du commerce en bois et matériaux de construction;Intermédiaires du commerce en bois et matériaux de construction;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Services administratifs combinés de bureau;Services administratifs combinés de bureau;Activités administratives;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Travaux d'installation d'eau et de gaz en tous locaux;Travaux de plomberie et installation de chauffage et de conditionnement d'air;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²);Commerce de détail de quincaillerie, peintures et verres en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres travaux d'installation n.c.a.;Autres travaux d'installation;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Travaux de peinture et vitrerie;Travaux de peinture et vitrerie;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Fabrication de produits à base de tabac;Industrie manufacturière
Activités des agences de travail temporaire;Activités des agences de travail temporaire;Activités des agences de travail temporaire;Activités liées à l'emploi;Activités de services administratifs et de soutien
Autres travaux de finition;Autres travaux de finition;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'articles de bijouterie fantaisie et articles similaires;Fabrication d'articles de bijouterie fantaisie et articles similaires;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Transformation et conservation de la viande de volaille;Transformation et conservation de la viande de volaille;Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Commerce de gros (commerce interentreprises) d'autres biens domestiques;Commerce de gros d'autres biens domestiques;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités spécialisées, scientifiques et techniques diverses;Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques n.c.a.;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Récolte de produits forestiers non ligneux poussant à l'état sauvage;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
