classeActivite;groupeActivite;divisionActivite;sectionActivite
Fonderie de métaux légers;Fonderie;Métallurgie;Industrie manufacturière
Fabrication de supports magnétiques et optiques;Fabrication de supports magnétiques et optiques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Préparation de fibres textiles et filature;Préparation de fibres textiles et filature;Fabrication de textiles;Industrie manufacturière
Fabrication de machines pour la métallurgie;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication d'huiles et graisses;Fabrication d'huiles et graisses végétales et animales;Industries alimentaires;Industrie manufacturière
Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Commerce de détail de meubles, appareils d'éclairage et autres articles de ménage en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Défense;Services de prérogative publique;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Production et distribution de vapeur et d'air conditionné;Production et distribution de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication de colles;Fabrication d'autres produits chimiques;Industrie chimique;Industrie manufacturière
Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement médico-social et social;Santé humaine et action sociale
Enregistrement sonore et édition musicale;Enregistrement sonore et édition musicale;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Travaux de peinture et vitrerie;Travaux de finition;Travaux de construction spécialisés;Construction
Culture du riz;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Édition de revues et périodiques;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Caisses de retraite;Caisses de retraite;Assurance;Activités financières et d'assurance
