classeActivite;groupeActivite;divisionActivite;sectionActivite
Traitement primaire des récoltes;Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Gestion d'installations sportives;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Commerce de gros non spécialisé;Commerce de gros non spécialisé;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Ennoblissement textile;Ennoblissement textile;Fabrication de textiles;Industrie manufacturière
Transformation et conservation de poisson, de crustacés et de mollusques;Transformation et conservation de poisson, de crustacés et de mollusques;Industries alimentaires;Industrie manufacturière
Commerce de détail alimentaire sur éventaires et marchés;Commerce de détail sur éventaires et marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Intermédiaires du commerce en denrées, boissons et tabac;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Gestion d'installations informatiques;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Fabrication de parfums et de produits pour la toilette;Fabrication de savons, de produits d'entretien et de parfums;Industrie chimique;Industrie manufacturière
Extraction de gaz naturel;Extraction de gaz naturel;Extraction d'hydrocarbures;Industries extractives
Construction de navires et de structures flottantes;Construction navale;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication d'aliments homogénéisés et diététiques;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Extraction de houille;Extraction de houille;Extraction de houille et de lignite;Industries extractives
Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'instruments et de fournitures à usage médical et dentaire;Fabrication d'instruments et de fournitures à usage médical et dentaire;Autres industries manufacturières;Industrie manufacturière
Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;Dépollution et autres services de gestion des déchets;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Conseil informatique;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'outillage portatif à moteur incorporé;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Gestion de fonds;Gestion de fonds;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Transport ferroviaire interurbain de voyageurs;Transport ferroviaire interurbain de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Administration publique (tutelle) des activités économiques;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Activités de sécurité privée;Activités de sécurité privée;Enquêtes et sécurité;Activités de services administratifs et de soutien
Construction de ponts et tunnels;Construction de routes et de voies ferrées;Génie civil;Construction
Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Profilage à froid par formage ou pliage;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Récolte de produits forestiers non ligneux poussant à l'état sauvage;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Fabrication d'articles de joaillerie et bijouterie;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Fabrication de produits pharmaceutiques de base;Fabrication de produits pharmaceutiques de base;Industrie pharmaceutique;Industrie manufacturière
Fabrication de fours et brûleurs;Fabrication d'autres machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication d'autres articles en matières plastiques;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Extraction de pétrole brut;Extraction de pétrole brut;Extraction d'hydrocarbures;Industries extractives
Fabrication de béton prêt à l'emploi;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments résidentiels et non résidentiels;Construction de bâtiments;Construction
Fabrication de composants électroniques;Fabrication de composants et cartes électroniques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Services administratifs combinés de bureau;Activités administratives;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Commerce de gros de fleurs et plantes;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des syndicats de salariés;Activités des syndicats de salariés;Activités des organisations associatives;Autres activités de services
Fabrication de machines agricoles et forestières;Fabrication de machines agricoles et forestières;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Location et exploitation de biens immobiliers propres ou loués;Location et exploitation de biens immobiliers propres ou loués;Activités immobilières;Activités immobilières
Fabrication d'autres produits alimentaires n.c.a.;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Location et location-bail d'articles de loisirs et de sport;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Commerce de gros de composants et d'équipements électroniques et de télécommunication;Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;Captage, traitement et distribution d'eau;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Activités combinées de soutien lié aux bâtiments;Activités combinées de soutien lié aux bâtiments;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Blanchisserie-teinturerie;Autres services personnels;Autres services personnels;Autres activités de services
Activités hospitalières;Activités hospitalières;Activités pour la santé humaine;Santé humaine et action sociale
Fabrication de machines de formage des métaux;Fabrication de machines de formage des métaux et de machines-outils;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication d'autres matériels électriques;Fabrication d'autres matériels électriques;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de vêtements de dessous;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Préparation de jus de fruits et légumes;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Fabrication d'autres produits chimiques organiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Fabrication de papier et carton ondulés et d'emballages en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Fabrication d'articles en fils métalliques, de chaînes et de ressorts;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Enseignement culturel;Autres activités d'enseignement;Enseignement;Enseignement
Fabrication de moteurs, génératrices et transformateurs électriques;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication d'équipements électriques;Industrie manufacturière
Forages et sondages;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Construction aéronautique et spatiale;Construction aéronautique et spatiale;Fabrication d'autres matériels de transport;Industrie manufacturière
Services auxiliaires des transports aériens;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Fabrication de préparations pharmaceutiques;Fabrication de préparations pharmaceutiques;Industrie pharmaceutique;Industrie manufacturière
Commerce de détail de biens d'occasion en magasin;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transports spatiaux;Transports aériens de fret et transports spatiaux;Transports aériens;Transports et entreposage
Construction de locomotives et d'autre matériel ferroviaire roulant;Construction de locomotives et d'autre matériel ferroviaire roulant;Fabrication d'autres matériels de transport;Industrie manufacturière
Conseil en relations publiques et communication;Conseil de gestion;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Commerce de gros d'autres biens domestiques;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Réparation et maintenance navale;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Transport d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Intermédiaires du commerce en bois et matériaux de construction;Intermédiaires du commerce de gros;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de machines pour le travail du caoutchouc ou des plastiques;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Travaux de plomberie et installation de chauffage et de conditionnement d'air;Travaux d'installation électrique, plomberie et autres travaux d'installation;Travaux de construction spécialisés;Construction
Fabrication de non-tissés, sauf habillement;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Transports aériens de fret;Transports aériens de fret et transports spatiaux;Transports aériens;Transports et entreposage
Activité des médecins généralistes;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Commerce de gros de produits à base de tabac;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transports maritimes et côtiers de fret;Transports maritimes et côtiers de fret;Transports par eau;Transports et entreposage
Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'appareils sanitaires en céramique;Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de jeux et jouets;Fabrication de jeux et jouets;Autres industries manufacturières;Industrie manufacturière
Activités des sociétés holding;Activités des sociétés holding;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Fabrication d'éléments en béton pour la construction;Fabrication d'ouvrages en béton, en ciment ou en plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités juridiques;Activités juridiques;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Commerce de détail de viandes et de produits à base de viande en magasin spécialisé;Commerce de détail alimentaire en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros de viandes et de produits à base de viande;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location de vidéocassettes et disques vidéo;Location et location-bail de biens personnels et domestiques;Activités de location et location-bail;Activités de services administratifs et de soutien
Services funéraires;Autres services personnels;Autres services personnels;Autres activités de services
Fabrication de machines pour les industries du papier et du carton;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Élevage d'autres animaux;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'autres articles en papier ou en carton;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Télécommunications sans fil;Télécommunications sans fil;Télécommunications;Information et communication
Hôtels et hébergement similaire;Hôtels et hébergement similaire;Hébergement;Hébergement et restauration
Fabrication d'articles en papier à usage sanitaire ou domestique;Fabrication d'articles en papier ou en carton;Industrie du papier et du carton;Industrie manufacturière
Commerce de gros de matériel agricole;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;Collecte et traitement des eaux usées;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Commerce de gros de minerais et métaux;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Élevage d'ovins et de caprins;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Crédit-bail;Autres activités des services financiers, hors assurance et caisses de retraite;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Commerce de gros de sucre, chocolat et confiserie;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros de boissons;Commerce de gros de produits alimentaires, de boissons et de tabac;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros d'habillement et de chaussures;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Culture de plantes à boissons;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication d'emballages métalliques légers;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de produits réfractaires;Fabrication de produits réfractaires;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Édition de journaux;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Commerce de voitures et de véhicules automobiles légers;Commerce de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Réparation et maintenance d'autres équipements de transport;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Activités de poste dans le cadre d'une obligation de service universel;Activités de poste dans le cadre d'une obligation de service universel;Activités de poste et de courrier;Transports et entreposage
Fabrication de ficelles, cordes et filets;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Exploitation forestière;Exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Extraction de minerais de fer;Extraction de minerais de fer;Extraction de minerais métalliques;Industries extractives
Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes;Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Services auxiliaires des transports par eau;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Commerce et réparation de motocycles;Commerce et réparation de motocycles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Terrains de camping et parcs pour caravanes ou véhicules de loisirs;Terrains de camping et parcs pour caravanes ou véhicules de loisirs;Hébergement;Hébergement et restauration
Vente à distance;Commerce de détail hors magasin, éventaires ou marchés;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction des minéraux chimiques et d'engrais minéraux;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Études de marché et sondages;Études de marché et sondages;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Programmation de télévision et télédiffusion;Programmation de télévision et télédiffusion;Programmation et diffusion;Information et communication
Fabrication et rechapage de pneumatiques;Fabrication de produits en caoutchouc;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Culture de la canne à sucre;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres cultures non permanentes;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Location et location-bail de camions;Location et location-bail de véhicules automobiles;Activités de location et location-bail;Activités de services administratifs et de soutien
Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Fabrication de serrures et de ferrures;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Transports de voyageurs par taxis;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Fabrication de vêtements de travail;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Fabrication de vêtements en cuir;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Autres activités d'hébergement social;Autres activités d'hébergement social;Hébergement médico-social et social;Santé humaine et action sociale
Activités d'ingénierie;Activités d'architecture et d'ingénierie;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Fabrication de ciment;Fabrication de ciment, chaux et plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Transports fluviaux de fret;Transports fluviaux de fret;Transports par eau;Transports et entreposage
Fabrication d'articles chaussants à mailles;Fabrication d'articles à mailles;Industrie de l'habillement;Industrie manufacturière
Fabrication d'autres fils et câbles électroniques ou électriques;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de structures métalliques et de parties de structures;Fabrication d'éléments en métal pour la construction;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de matelas;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Fabrication d'équipements électriques et électroniques automobiles;Fabrication d'équipements automobiles;Industrie automobile;Industrie manufacturière
Fabrication de sucre;Fabrication d'autres produits alimentaires;Industries alimentaires;Industrie manufacturière
Activités des organisations religieuses;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Fabrication de carreaux en céramique;Fabrication de matériaux de construction en terre cuite;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres activités informatiques;Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
"Fabrication d'objets divers en bois; fabrication d'objets en liège, vannerie et sparterie";Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Gestion des musées;Bibliothèques, archives, musées et autres activités culturelles;Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Fabrication d'articles de bijouterie fantaisie et articles similaires;Fabrication d'articles de joaillerie, bijouterie et articles similaires;Autres industries manufacturières;Industrie manufacturière
Télécommunications par satellite;Télécommunications par satellite;Télécommunications;Information et communication
Activités des agents et courtiers d'assurances;Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Commerce de gros de combustibles et de produits annexes;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Production de sel;Activités extractives n.c.a.;Autres industries extractives;Industries extractives
Courtage de valeurs mobilières et de marchandises;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Élevage de vaches laitières;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Création artistique;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Extraction d'autres minerais de métaux non ferreux;Extraction de minerais de métaux non ferreux;Extraction de minerais métalliques;Industries extractives
Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Fonds de placement et entités financières similaires;Fonds de placement et entités financières similaires;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Fabrication d'engrenages et d'organes mécaniques de transmission;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Commerce de gros de mobilier de bureau;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication d'équipements de communication;Fabrication d'équipements de communication;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Reproduction de plantes;Reproduction de plantes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication d'autres vêtements et accessoires;Fabrication de vêtements, autres qu'en fourrure;Industrie de l'habillement;Industrie manufacturière
Fabrication d'éléments en matières plastiques pour la construction;Fabrication de produits en plastique;Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Débits de boissons;Débits de boissons;Restauration;Hébergement et restauration
Gestion de salles de spectacles;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Autre mise à disposition de ressources humaines;Autre mise à disposition de ressources humaines;Activités liées à l'emploi;Activités de services administratifs et de soutien
Autre commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de savons, détergents et produits d'entretien;Fabrication de savons, de produits d'entretien et de parfums;Industrie chimique;Industrie manufacturière
Activités des centres de culture physique;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Commerce de détail de journaux et papeterie en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Raffinage du pétrole;Raffinage du pétrole;Cokéfaction et raffinage;Industrie manufacturière
Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités de centres d'appels;Activités de centres d'appels;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication d'articles textiles, sauf habillement;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Construction de véhicules militaires de combat;Construction de véhicules militaires de combat;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de produits électroniques grand public;Fabrication de produits électroniques grand public;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
"Forge, emboutissage, estampage; métallurgie des poudres";"Forge, emboutissage, estampage; métallurgie des poudres";Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Métallurgie du plomb, du zinc ou de l'étain;Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Réparation de matériels électroniques et optiques;Réparation d'ouvrages en métaux, de machines et d'équipements;Réparation et installation de machines et d'équipements;Industrie manufacturière
Pratique dentaire;Activité des médecins et des dentistes;Activités pour la santé humaine;Santé humaine et action sociale
Transports aériens de passagers;Transports aériens de passagers;Transports aériens;Transports et entreposage
Fabrication d'étoffes à mailles;Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Fonderie de fonte;Fonderie;Métallurgie;Industrie manufacturière
Commerce de détail de produits pharmaceutiques en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de cartes électroniques assemblées;Fabrication de composants et cartes électroniques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Commerce de gros de déchets et débris;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Transformation et conservation de pommes de terre;Transformation et conservation de fruits et légumes;Industries alimentaires;Industrie manufacturière
Distribution de combustibles gazeux par conduites;Production et distribution de combustibles gazeux;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Commerce de gros de vaisselle, verrerie et produits d'entretien;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Enseignement pré-primaire;Enseignement pré-primaire;Enseignement;Enseignement
Distribution d'électricité;Production, transport et distribution d'électricité;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Administration de marchés financiers;Activités auxiliaires de services financiers, hors assurance et caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Commerce de gros de cuirs et peaux;Commerce de gros de produits agricoles bruts et d'animaux vivants;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des organisations politiques;Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Nettoyage courant des bâtiments;Activités de nettoyage;Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
